ID,Title,Poster_URL,Type
77,Brother from Another Planet,https://storage.googleapis.com/pecantv_title_images/Brother-from-Another-Planet-Feature-Img.jpg,FILM
79,Beyond Christmas,https://storage.googleapis.com/pecantv_title_images/Beyond-Christmas_title-image.jpg,FILM
80,Beat the Devil,https://storage.googleapis.com/pecantv_title_images/Beat-the-Devil_title-img.jpg,FILM
81,A Christmas Wish,https://storage.googleapis.com/pecantv_title_images/A-Christmas-Wish_title-image.jpg,FILM
83,Dick Tracy vs Cueball,https://storage.googleapis.com/pecantv_title_images/Dick-Tracy_Title-Img.jpg,FILM
84,Inframan,https://storage.googleapis.com/pecantv_title_images/MikeHammer_Title-Img-with-title.png,FILM
85,The Stranger,https://storage.googleapis.com/pecantv_title_images/The-Stranger_title-img.jpg,FILM
433,Counterploy,https://storage.googleapis.com/pecantv_title_images/Counterploy_title-img.jpg,FILM
435,A Fallen Idol,https://storage.googleapis.com/pecantv_title_images/A-Fallen-Idol_title-img.jpg,FILM
457,Sherlock Holmes in Dressed to Kill,https://storage.googleapis.com/pecantv_title_images/Sherlock-Holmes-The-Sign-of-Four_title-img.png,FILM
459,Sherlock Holmes in The Secret Weapon,https://storage.googleapis.com/pecantv_title_images/Sherlock-Holmes-The-Hound-of-the-Baskervilles_title-img.png,FILM
460,Sherlock Holmes in Woman in Green,https://storage.googleapis.com/pecantv_title_images/Sherlock-Holmes-The-Red-Headed-League_title-img.png,FILM
519,Jesse Owens: The Fastest Man in the World,https://storage.googleapis.com/pecantv_title_images/Jesse-Owens-Feature-Img.jpg,FILM
520,Jesse Owens: The Fastest Man in the World Part I,https://storage.googleapis.com/pecantv_title_images/Jesse-Owens-Feature-Img.jpg,FILM
521,Jesse Owens: The Fastest Man in the World Part II,https://storage.googleapis.com/pecantv_title_images/Jesse-Owens-Feature-Img.jpg,FILM
533,Kansas City Confidential,https://storage.googleapis.com/pecantv_title_images/KC-Confidential_title-img.jpg,FILM
547,House on Haunted Hill: the animated horror,https://storage.googleapis.com/pecantv_title_images/House-on-Haunted-Hill_title-img1.jpg,FILM
618,Night Games,https://storage.googleapis.com/pecantv_title_images/Night-Games_title-img.png,FILM
619,Music to Die By,https://storage.googleapis.com/pecantv_title_images/MikeHammer_Title-Img-with-title.png,FILM
620,The Golden Cage,https://storage.googleapis.com/pecantv_title_images/The-Golden-Cage_title-img.png,FILM
621,Death in High Places,https://storage.googleapis.com/pecantv_title_images/Death-in-High-Places_title-img.png,FILM
622,The Double Negative,https://storage.googleapis.com/pecantv_title_images/Cosmos-fullLogo_blk.png,FILM
624,"Mirror, Mirror on the Wall",https://storage.googleapis.com/pecantv_title_images/Mirror-Mirror-on-the-Wall_title-img.png,FILM
640,Blood Money,https://storage.googleapis.com/pecantv_title_images/Blood-Money_title-img.png,FILM
641,Any Number Can Die,https://storage.googleapis.com/pecantv_title_images/Any-Number-Can-Die_title-img.png,FILM
643,Jubilee Jones,https://storage.googleapis.com/pecantv_title_images/Jubilee-Jones_title-img.png,FILM
646,The Gamblers,https://storage.googleapis.com/pecantv_title_images/The-Gamblers_title-img.png,FILM
647,Terror on Wheels,https://storage.googleapis.com/pecantv_title_images/Terror-on-Wheels_title-img.png,FILM
653,Death Ride,https://storage.googleapis.com/pecantv_title_images/Hercules_title-img.jpg,FILM
655,A Lonely Victim,https://storage.googleapis.com/pecantv_title_images/A-Lonely-Victim_title-img.png,FILM
675,Play Belles' Toll,https://storage.googleapis.com/pecantv_title_images/Beat-the-Devil_title-img.png,FILM
709,Black Brigade,https://storage.googleapis.com/pecantv_title_images/Black-Brigade-Feature-Img.jpg,FILM
710,Get Christie Love,https://storage.googleapis.com/pecantv_title_images/GetChristieLove-Feature-Img.jpg,FILM
