External ID,Title,Internal Title,Description,Short Description,Series Name,Season Number,Episode Number,Keywords,Categories,Release Date,Video Filename,Artwork Filename,Series Artwork Filename,Closed Caption Filename,Genre Source,Genre Value,Rating Source,Rating Value,Cut Points ,Entry Type,Is Ad?,Is Promo?,Burn-in Captions?
PTV-F-W-2023-001,The Gunmen,Bonanza The Gunmen,"While traveling through a small Texas town, Little Joe and Hoss are mistaken for the gunslinging Slade Brothers who have been hired to kill a man.",Little Joe and Hoss are mistaken for murderous gunslingers.,Bonanza Animated Series,1,5,Bonanza,Mystery,2023/02/22,Bonanza-The-Gunmen_2p-1080-full-credits.mp4,Bonanza-Series-Image.jpg,Bonanza-Series-Image.jpg,,roku,Western,USA_PR,TVPG,"00:07:39.000,00:20:59.500,00:39:40.100,00:58:36.600",Movie,,,
PTV-F-W-2023-001,The Fear Merchants,Bonanza The Fear Merchants,In Virginia City the Cartwrights protect a young Chinese man who has been accused of murder. A mayor candidate uses the situation to further his cause.,The Cartwrights protect a young Chinese man who has been accused of murder.,Bonanza Animated Series,1,6,Bonanza,Mystery,2023/02/22,Bonanza-Fear-Merchants_2p-1080-full-credits.mp4,Bonanza-Series-Image.jpg,Bonanza-Series-Image.jpg,,roku,Western,USA_PR,TVPG,"00:09:24.000,00:25:08.600,00:44:29.500",Movie,,,
PTV-F-W-2023-001,Death at Dawn,Bonanza Death at Dawn,The Cartwrights help the sheriff bring a murderer to trial but are opposed by the murderer’s boss.,The Cartwrights help the sheriff bring a murderer to trial but are opposed by the murderer’s boss.,Bonanza Animated Series,1,7,Bonanza,Mystery,2023/02/22,Bonanza-Death-at-Dawn_2p-1080-full-credits.mp4,Bonanza-Series-Image.jpg,Bonanza-Series-Image.jpg,,roku,Western,USA_PR,TVPG,"00:08:54.000,00:26:02.000,00:43:51.100,00:57:10.000",Movie,,,
PTV-F-W-2023-001,The Spitfire,Bonanza The Spitfire,"Little Joe is forced to kill a man who started a fire on the Ponderosa. He takes responsibility for the man’s daughter, unaware inlaws are on the way to exact revenge.",Little Joe is forced to kill a man who started a fire on the Ponderosa.,Bonanza Animated Series,1,8,Bonanza,Mystery,2023/02/22,Bonanza-The-Spitfire_2p-1080-full-credits.mp4,Bonanza-Series-Image.jpg,Bonanza-Series-Image.jpg,,roku,Western,USA_PR,TVPG,"00:07:34.000,00:25:58.000,00:44:17.000,01:00:32.400",Movie,,,
PTV-F-W-2023-001,The Blood Line,Bonanza The Blood Line,"After killing a man in self-defense, Ben feels he is responsible to look after the man’s son returning from Boston, but he only wants revenge.",Ben feels compelled to take care of the son of a man he killed.,Bonanza Animated Series,1,9,Bonanza,Western,2023/02/22,Bonanza-The-Blood-Line_2p-1080-full-credits.mp4,Bonanza-Series-Image.jpg,Bonanza-Series-Image.jpg,,roku,Western,USA_PR,TVPG,"00:11:17.000,00:27:37.000,00:38:50.000",Movie,,,
PTV-F-W-2023-001,The Ape,Bonanza The Ape,In Virginia City Hoss befriends a strong but dimwitted man called Arnie who can’t control his temper. Hoss gets him a job at the Ponderosa.,Hoss befriends a strong but dimwitted man who can’t control his temper.,Bonanza Animated Series,1,10,Bonanza,Western,2023/02/22,Bonanza-The-Ape_2p-1080-full-credits.mp4,Bonanza-Series-Image.jpg,Bonanza-Series-Image.jpg,,roku,Western,USA_PR,TVPG,"00:17:54.000,00:27:49.000,00:37:39.000",Movie,,,
PTV-F-W-2023-001,The Avenger,Bonanza The Avenger,Ben and Adam are accused and found guilty of murder and await their hanging. Joe and Hoss try to get a stay of execution.,Ben and Adam are accused and found guilty of murder.,Bonanza Animated Series,1,11,Bonanza,Western,2023/02/22,Bonanza-The-Avenger_2p-1080-full-credits.mp4,Bonanza-Series-Image.jpg,Bonanza-Series-Image.jpg,,roku,Western,USA_PR,TVPG,"00:22:43.000,00:33:55.000,00:41:03.000",Movie,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
