External ID,Title,Internal Title,Description,Short Description,Series Name,Season Number,Episode Number,Keywords,Categories,Release Date,Video Filename,Artwork Filename,Series Artwork Filename,Closed Caption Filename,Genre Source,Genre Value,Rating Source,Rating Value,Cut Points ,Entry Type,Is Ad?,Is Promo?,Burn-in Captions?
PTV-S-C-2023-101,The Way of the Intercepting Fist,Longstreet-1,Mike enlists the teachings of martial arts expert Li Tsung in order to defend himself despite his blindness.,Mike enlists the teachings of martial arts expert Li Tsung in order to defend himself despite his blindness.,Longstreet,1,1,Longstreet,Crime,2023/05/29,Longstreet-The-Way-of-the-Intercepting-Fist_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:12:45.280,00:28:47.050,00:35:48.080",Series,,,
PTV-S-C-2023-102,A World of Perfect Complicity,Longstreet-2,"Mike and Nikki go undercover as husband and wife in an exclusive apartment building, in an attempt to discover the identity of a thief who is robbing its wealthy residents.",Mike and Nikki go undercover as husband and wife to stop a thief.,Longstreet,1,2,Longstreet,Crime,2023/05/29,Longstreet-A-World-of-Perfect-Complicity_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:13:57.200,00:25:59.010,00:32:35.040",Series,,,
PTV-S-C-2023-104,"So, Who's Fred Hornbeck?",Longstreet-4,A man who spent several years in prison for a murder he didn't commit enlists Mike's help in finding the real killer.,Mike helps an ex-con beat a murder rap.,Longstreet,1,4,Longstreet,Crime,2023/05/29,Longstreet-So-Whos-Fred-Hornbeck_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:12:26.110,00:24:50.180,00:36:40.110",Series,,,
PTV-S-C-2023-105,Elegy in Brass,Longstreet-5,"When Mike begins investigating the murder of a Jazz Society director and the theft of two rare and valuable instruments, it leads him on a path into greed, ambition, hidden family secrets and the world of jazz music.",Mike investigates the murder of a Jazz Society director.,Longstreet,1,5,Longstreet,Crime,2023/05/29,Longstreet-Elegy-in-Brass_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:12:43.190,00:25:24.290,00:36:32.280",Series,,,
PTV-S-C-2023-106,Spell Legacy Like Death,Longstreet-6,"A dying man sets bombs around the city, and then calls Mike demanding $500,000 in ransom money. Mike suspects the bomber is someone from a case he worked in the past, as he meets with the bomber to pay the ransom.","Mike stops a bomber, who is a former client.",Longstreet,1,6,Longstreet,Crime,2023/05/29,Longstreet-Spell-Legacy-Like-Death_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:09:34.010,00:19:54.140,00:34:38.050",Series,,,
PTV-S-C-2023-107,The Shape of Nightmares,Longstreet-7,"A young widow asks Mike to look into the apparent suicide of her husband, who died in prison.","A young widow asks Mike to look into the apparent suicide of her husband, who died in prison.",Longstreet,1,7,Longstreet,Crime,2023/05/29,Longstreet-The-Shape-of-Nightmares_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:10:29.250,00:22:21.110,00:35:42.050",Series,,,
PTV-S-C-2023-108,The Girl with the Broom,Longstreet-8,"A Rembrandt is stolen from a wealthy couple's home, and the owner doesn't think a blind insurance investigator is able to handle the job. Mike's investigation into the theft takes him into a web of hidden family secrets and lies.",Mike investigates the theft of a sceptical couple's stolen Rembrandt.,Longstreet,1,8,Longstreet,Crime,2023/05/29,Longstreet-The-Girl-With-the-Broom_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:15:40.070,00:26:57.040,00:33:44.090",Series,,,
PTV-S-C-2023-109,Wednesday's Child,Longstreet-9,"Nikki is kidnapped after purchasing an antique sewing machine at an auction, and held for ransom. Mike must discover what's hidden within the machine that's of value, and then with Li's help find a way to rescue Nikki.",Nikki is kidnapped. Mike must come to rescue.,Longstreet,1,9,Longstreet,Crime,2023/05/29,Longstreet-Wednesdays-Child_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:11:01.140,00:24:24.210,00:36:45.150",Series,,,
PTV-S-C-2023-110,"I See', Said the Blind Man",Longstreet-10,"Mike overhears a woman being killed in a darkened alley, and sends Pax to help her. Pax is critically stabbed, and the attacker simply walks away, realizing Mike is blind. Longstreet must try to find out who the killer is.","Mike's dog, Pax, is stabbed trying to save a victim.",Longstreet,1,10,Longstreet,Crime,2023/05/29,Longstreet-I-See-Said-the-Blind-Man_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:12:07.250,00:25:07.230,00:32:32.020",Series,,,
PTV-S-C-2023-111,This Little Piggy Went to Marquette,Longstreet-11,"Mike investigates a series of thefts of semi-truck trailers (known as ""pigs"") and uncovers a ring of thieves.",Mike investigates a series of thefts of semi-truck trailers.,Longstreet,1,11,Longstreet,Crime,2023/05/29,Longstreet-This-Little-Piggy-Went-to-Marquette_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:14:00.140,00:25:36.160,00:35:33.230",Series,,,
PTV-S-C-2023-112,There Was a Crooked Man,Longstreet-12,"A valuable racehorse is stolen and held for ransom. The kidnappers want Mike to deliver the ransom money, because they figure he won't be able to identify them.",Kidnappers try to use Mike's blindness for cover in kidnap for ransom.,Longstreet,1,12,Longstreet,Crime,2023/05/29,Longstreet-There-Was-a-Crooked-Man_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:12:36.150,00:24:48.100,00:35:08.170",Series,,,
PTV-S-C-2023-113,The Old Team Spirit,Longstreet-13,"There has been a series of armored-car robberies, and Mike's old mentor, Harold Kemp, is in charge of the investigation. As Mike assists Harold in the investigation, he begins to suspect his mentor is involved.",Mike suspects his mentor in a string of armored car robberies.,Longstreet,1,13,Longstreet,Crime,2023/05/29,Longstreet-The-Old-Team-Spirit_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:09:20.080,00:23:48.180,00:33:53.050",Series,,,
PTV-S-C-2023-114,The Long Way Home,Longstreet-14,"Harper Electronics specializes in hiring handicapped employees, but the company is hit with a string of robberies. Going undercover to investigate, Mike becomes an employee with the firm.",Mike helps a company end a string of robberies.,Longstreet,1,14,Longstreet,Crime,2023/05/29,Longstreet-The-Long-Way-Home_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:12:12.290,00:26:18.150,00:33:10.090",Series,,,
PTV-S-C-2023-115,Let the Memories Be Happy Ones,Longstreet-15,"Mike finally meets his sister-in-law Hannah, but their encounter is marred by an attempt on the life of Hannah's husband Sven, who is with the Swedish State Department and currently involved in sensitive discussions with other countries.","Mike's sister-in-law, Hannah's husband has his life threatened.",Longstreet,1,15,Longstreet,Crime,2023/05/29,Longstreet-Let-the-Memories-Be-Happy-Ones_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:11:46.100,00:25:33.090,00:37:02.140",Series,,,
PTV-S-C-2023-116,Survival Times Two,Longstreet-16,"Mike and Duke are stranded in the bayou while on a fishing trip. Duke is bitten by a water moccasin and falls deathly ill, forcing Mike to find a way to survive in the wild and fend off a crazed Cajun trying to kill them.","Duke is bitten by a water moccasin in the bayou, and Mike must save him.",Longstreet,1,16,Longstreet,Crime,2023/05/29,Longstreet-Survival-Times-Two-rev_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:12:01.140,00:22:24.040,00:33:47.280",Series,,,
PTV-S-C-2023-117,Eye of the Storm,Longstreet-17,"Mike travels to a lonely roadside diner to meet the representative of a gang that stole a valuable jade chess set, in order to pay the ransom for its return. ",Mike confronts a gang in a ransom heist.,Longstreet,1,17,Longstreet,Crime,2023/05/29,Longstreet-Eye-of-the-Storm-rev_2p-1080-withCredits.mp4,Longstreet_title-img.png,Longstreet_title-img.png,,roku,Crime,USA_PR,TV14,"00:15:31.230,00:28:11.050,00:35:49.230",Series,,,
