External ID,Title,Internal Title,Description,Short Description,Series Name,Season Number,Episode Number,Keywords,Categories,Release Date,Video Filename,Artwork Filename,Series Artwork Filename,Closed Caption Filename,Genre Source,Genre Value,Rating Source,Rating Value,Cut Points ,Entry Type,Is Ad?,Is Promo?,Burn-in Captions?
PTV-F-A-2023-011,Snake and Crane Secret: the animate movie,Snake Crane-animated,"A family tries to uphold their honor, while keeping their Sacred Kung-Fu book from getting into the wrong hands.",A family tries to keep their Sacred Kung-Fu book from getting into the wrong hands.,,,,,Action,2023/06/16,Snake-and-Crane-Secret_2p-1080-with-credits.mp4,Snake-and-Crane-Secret_title-img.png,,,roku,Action,USA_PR,TVMA,"00:14:44.060,00:29:49.080,00:44:42.010,01:02:20.250,01:19:41.210",movie,,,
PTV-F-A-2023-012,"Dragon, The Young Master: the animated movie",Dragon Young Master-animated,Kao-Ying sells information on the mining operation in Manchuria to the Japanese Intelligence Agency. He's rewarded with a large quantity of jewelry.,Kao-Ying sells information to the Japanese Intelligence Agency for a reward,,,,,Action,2023/06/18,Dragon-the-Young-Master_2p-1080-with-credits.mp4,Dragon-Young-Master_title-img1.png,,,roku,Action,USA_PR,TVMA,"00:14:53.060,00:29:38.060,00:45:49.250,01:02:28.080",movie,,,
PTV-F-A-2023-013,Legend of the Eight Samurai: the animated movie,Eight Samurai-animated,"Princess Shizu was born under a terrible curse. Only the eight legendary samurai, hailing from across Japan, can protect her from an ancient supernatural clan to fulfill their destinies as foretold by prophecy.",Princess Shizu was born under a terrible curse. Only the eight legendary samurai can protect her.,,,,,Action,2023/06/18,Legend-of-the-Eight-Samurai_2p-1080-with-credits.mp4,Legend-of-the-Eight-Samurai_title-img.png,,,roku,Action,USA_PR,TVMA,"00:15:05.120,00:29:43.220,00:50:49.220,01:16:47.190,01:37:47.190,02:00:29.290",movie,,,
PTV-F-A-2023-014,Chinese Hercules: the animated movie,Chinese Hercules-animated,"A martial arts fighter, haunted by his past, takes a job as a dock worker in a small village. His vow never to fight again is tested by the cruel owner of the pier.",A martial arts fighter's vow is tested by a corrupt waterfront pier owner.,,,,,Action,2023/06/18,Chinese-Hercules_2p-1080-with-credits.mp4,Chinese-Hercules_title-img.png,,,roku,Action,USA_PR,TVMA,"00:22:26.210,00:34:52.190,00:52:40.030,01:02:35.130,01:23:48.170",movie,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
