External ID,Title,Internal Title,Description,Short Description,Series Name,Season Number,Episode Number,Keywords,Categories,Release Date,Video Filename,Artwork Filename,Series Artwork Filename,Closed Caption Filename,Genre Source,Genre Value,Rating Source,Rating Value,Cut Points ,Entry Type,Is Ad?,Is Promo?,Burn-in Captions?
PTV-S-A-2023-111,A Toy for the Infanta,CMC-1,"In 1833, the death of the King creates a struggle for the throne of Spain. The Count of Monte Cristo supports the claim of the King's widow who seeks to reign as regent for her young daughter, the Infanta.","In 1833, the death of the King creates a struggle for the throne of Spain. ",The Count of Monte Cristo,1,1,Count of Monte Cristo,Action,2023/06/20,CMC1-a-toy-for-the-infanta_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:12:17.000,Series,,,
PTV-S-A-2023-112,Marseilles,CMC-2,The Count goes undercover on the Marseilles waterfront to expose a piracy ring preying on ships bound from Spain.,The Count goes undercover on the Marseilles waterfront to expose a piracy ring.,The Count of Monte Cristo,1,2,Count of Monte Cristo,Action,2023/06/20,CMC2-marseille_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:13:29.000,Series,,,
PTV-S-A-2023-113,The Luxembourg Affair,CMC-3,"A scheming General replaces the Grand Duchess of Luxembourg with an impostor in the year 1836. The Count, summoned on financial matters, sees through the impostor and works to bring back the true Grand Duchess.",A scheming General replaces the Grand Duchess of Luxembourg with an impostor in the year 1836.,The Count of Monte Cristo,1,3,Count of Monte Cristo,Action,2023/06/20,CMC3-the-luxembourg-affair_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:13:13.500,Series,,,
PTV-S-A-2023-114,The Texas Affair,CMC-4,"An emissary from Texas arrives in France, seeking recognition for his new country. He's attacked by men paid by the Mexican government, but is then defended by the Count of Monte Cristo.","An emissary from Texas arrives in France, seeking recognition for his new country.",The Count of Monte Cristo,1,4,Count of Monte Cristo,Action,2023/06/20,CMC4-the-texas-affair_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:09:34.000,Series,,,
PTV-S-A-2023-115,The Mazzini Affair,CMC-5,"The Count, disguised as a priest, enters a fortress where a rebel -- seeking to free Italy from Austria's yoke -- faces execution.","The Count, disguised as a priest, enters a fortress where a rebel -- seeking to free Italy from Austria's yoke -- faces execution.",The Count of Monte Cristo,1,5,Count of Monte Cristo,Action,2023/06/20,CMC5-the-mazzini-affair_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:15:20.333,Series,,,
PTV-S-A-2023-116,The Carbonari,CMC-6,The Count intervenes on behalf of a man who's being blackmailed by a secret society known as the Carbonari.,The Count intervenes on behalf of a man who's being blackmailed by a secret society known as the Carbonari.,The Count of Monte Cristo,1,6,Count of Monte Cristo,Action,2023/06/20,CMC6-the-carbonari_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:13:28.500,Series,,,
PTV-S-A-2023-117,The Devil's Emissary,CMC-7,Residents of an Alpine valley are being held prisoner by a man rumored to be dabbling in the black arts. The Count of Monte Cristo arrives to investigate.,Residents of an Alpine valley are being held prisoner by a man rumored to be dabbling in the black arts.,The Count of Monte Cristo,1,7,Count of Monte Cristo,Action,2023/06/20,CMC7-the-devils-emissary_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:13:32.333,Series,,,
PTV-S-A-2023-118,Bordeaux,CMC-8,"Mercedes, the great love of the Count's early life, accepts the Count's help after her husband has been imprisoned and sentenced to death for a crime he did not commit.","Mercedes, the great love of the Count's early life, accepts the Count's help after her husband has been imprisoned.",The Count of Monte Cristo,1,8,Count of Monte Cristo,Action,2023/06/20,CMC8-bourdeaux_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:12:21.200,Series,,,
PTV-S-A-2023-119,Flight to Carais,CMC-9,"While traveling to England to be married, Princess Anne of France is kidnapped just outside Calais. The Count of Monte Cristo takes action to rescue her.","While traveling to England to be married, Princess Anne of France is kidnapped just outside Calais.",The Count of Monte Cristo,1,9,Count of Monte Cristo,Action,2023/06/20,CMC9-flight-to-carais_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:14:56.000,Series,,,
PTV-S-A-2023-120,Albania,CMC-10,A man claiming to be the Count of Monte Cristo has headquartered in Albania and is working with another man who wishes to become dictator of that country. The true Count travels to Tirana to set things right.,A man claiming to be the Count of Monte Cristo has headquartered in Albania.,The Count of Monte Cristo,1,10,Count of Monte Cristo,Action,2023/06/20,CMC10-albania_2p-1080-wCredits.mp4,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,Count-of-Monte-Cristo-sword-fleur-de-lis_title-img.png,,roku,Action,USA-PR,TVPG,00:13:14.333,Series,,,
